name,link,image,description,reference,price_tunisianet,availability_tunisianet,price_mytek,availability_mytek,link_mytek
Pc portable Asus Vivobook E210MA / Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/55249-pc-portable-asus-vivobook-e210ma-dual-core-4-go-noir.html,https://www.tunisianet.com.tn/241665-home/pc-portable-asus-vivobook-e210ma-dual-core-4-go-noir.jpg,"Ecran 11.6"" HD LED - Processeur Intel Celeron N4020, up to 2.8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque 128 Go SSD - Carte graphique Intel UHD Graphics - Wifi - Bluetooth - Webcam - 1x Type-A USB 3.1 - 1x Type-C USB 3.1 - 1x USB 2.0 - Lecteur de cartes - Clavier Chiclet - Windows 10 - Couleur Noir - Garantie 1 an",E210MA-GJ338T,"479,000 DT",En stock,"479,000 DT",En stock,https://www.mytek.tn/pc-portable-asus-e210ma-intel-celeron-n4020-4go-128-go-emmc-noir-e210ma-gj338t.html
Pc portable Asus Vivobook E210MA / Dual Core / 4 Go / Blanc,https://www.tunisianet.com.tn/pc-portable-tunisie/55251-pc-portable-asus-vivobook-e210ma-dual-core-4-go-blanc.html,https://www.tunisianet.com.tn/241689-home/pc-portable-asus-vivobook-e210ma-dual-core-4-go-blanc.jpg,"Ecran 11.6"" HD LED - Processeur Intel Celeron N4020, up to 2.8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque 128 Go SSD - Carte graphique Intel UHD Graphics - Wifi - Bluetooth - Webcam - 1x Type-A USB 3.1 - 1x Type-C USB 3.1 - 1x USB 2.0 - Lecteur de cartes - Clavier Chiclet - Windows 10 - Couleur Blanc - Garantie 1 an",E210MA-GJ334T,"479,000 DT",En stock,,,
PC Portable ASUS Chromebook C204 / Celeron N4020 / 4 Go / Gris,https://www.tunisianet.com.tn/pc-portable-tunisie/56964-pc-portable-asus-chromebook-c204-celeron-n4020-4-go-gris.html,https://www.tunisianet.com.tn/254631-home/pc-portable-asus-chromebook-c204-celeron-n4020-4-go-gris.jpg,"Ecran 11.6"" HD LED - Processeur Intel celeron N4020, up to 2,8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque 32 Go - Carte graphique Intel UHD Graphics 600 - Wifi - Bluetooth 5.0 - Webcam HD - Clavier Chiclet - Type-A USB 3.2 - Type-C USB 3.1 - Lecteur de cartes - Clavier Chiclet - Chrome OS - Couleur Gris - Garantie 1 an",C204MA-GJ0203,"535,000 DT",En stock,"535,000 DT",Epuisé,https://www.mytek.tn/pc-portable-asus-chromebook-c204-n4020-4go-32-go-emmc-gris.html
PC Portable Lenovo V15 / AMD 3020e / 4 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/49776-pc-portable-lenovo-v15-amd-3020e-4-go-sac-a-dos-ou-sacoche-lenovo-gratuit.html,https://www.tunisianet.com.tn/204244-home/pc-portable-lenovo-v15-amd-3020e-4-go-sac-a-dos-ou-sacoche-lenovo-gratuit.jpg,"Ecran 15.6"" LED HD - Processeur AMD 3020e , up to 2.6 GHz, 4 Mo de cache - Mémoire 4 Go - Disque 1 To - Carte graphique AMD Radeon Graphics - Wifi - Bluetooth - Lecteur de cartes - HDMI - 2x USB 3.1 - 1x USB 2.0 - Webcam HD - Couleur Gris - Garantie 1 an",82C7007YFE,"575,000 DT",En stock,"575,000 DT",En stock,https://www.mytek.tn/pc-portable-lenovo-v15-ada-amd-3020e-4go-1to-hdd.html
Pc Portable Lenovo V15 IGL / Dual Core / 4 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/51363-pc-portable-lenovo-v15-igl-dual-core-4-go.html,https://www.tunisianet.com.tn/214534-home/pc-portable-lenovo-v15-igl-dual-core-4-go.jpg,"Ecran 15.6"" LED HD - Processeur Intel Celeron Dual Core N4020, up to 2.8 GHz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque 1To - Carte graphique Intel UHD Graphics 600 - Wifi - Bluetooth - 2x USB 3.1 Gen 1 - 1x HDMI - Lecteur de cartes - Webcam HD - Garantie 1 an",82C30009FE,"585,000 DT",En stock,,,
Pc Portable Lenovo IdeaPad 3 15IGL05 / Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/52830-pc-portable-lenovo-ideapad-3-15igl05-dual-core-4-go-noir.html,https://www.tunisianet.com.tn/224338-home/pc-portable-lenovo-ideapad-3-15igl05-dual-core-4-go-noir.jpg,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core N4020, 2.8 Ghz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque 1 To - Carte graphique Intel UHD Graphics - Wifi - Bluetooth 5.0 - Webcam HD avec Micro - HDMI - USB 3.2 - Couleur Noir - Garantie 1 an",81WQ0049FE,"599,000 DT",En stock,,,
PC Portable Asus Vivobook E410MA / Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/56253-pc-portable-asus-vivobook-e410ma-dual-core-4-go-noir.html,https://www.tunisianet.com.tn/249098-home/pc-portable-asus-vivobook-e410ma-dual-core-4-go-noir.jpg,"Ecran 14"" HD LED - Processeur Intel celeron N4020, up to 2,8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque SSD 128 Go - Carte graphique Intel UHD Graphics 600 - Wifi - Bluetooth - Webcam - Type-A USB 3.1 - Type-C USB 3.1 - USB 2.0 - Lecteur de cartes - Clavier Chiclet - Windows 11 - Couleur Noir - Garantie 1 an",E410MA-BV1183W,"599,000 DT",En stock,"599,000 DT",En stock,https://www.mytek.tn/pc-portable-asus-e410ma-intel-celeron-n4020-4go-128-go-emmc-noir.html
PC portable Asus Vivobook E410KA / Dual Core / 4 Go / Bleu,https://www.tunisianet.com.tn/pc-portable-tunisie/61283-pc-portable-asus-vivobook-e410ka-dual-core-4-go-bleu.html,https://www.tunisianet.com.tn/284270-home/pc-portable-asus-vivobook-e410ka-dual-core-4-go-bleu.jpg,"Ecran 14"" Full HD LED - Processeur Intel celeron N4500, up to 2,8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque 128 Go - Carte graphique Intel UHD Graphics - Wifi - Bluetooth - Webcam - Type-A USB 3.1 - Type-C USB 3.1 - USB 2.0 - Lecteur de cartes - Clavier Chiclet - Windows 11 - Couleur Bleu - Garantie 1 an",E410KA-BV258W,"599,000 DT",En stock,"599,000 DT",En arrivage,https://www.mytek.tn/pc-portable-asus-e410ka-intel-celeron-n4500-4go-128-go-emmc-bleu.html
PC portable Asus Vivobook E410KA / Dual Core / 4 Go / Blanc,https://www.tunisianet.com.tn/pc-portable-tunisie/61282-pc-portable-asus-vivobook-e410ka-dual-core-4-go-rose.html,https://www.tunisianet.com.tn/284264-home/pc-portable-asus-vivobook-e410ka-dual-core-4-go-rose.jpg,"Ecran 14"" Full HD LED - Processeur Intel celeron N4500, up to 2,8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque 128 Go - Carte graphique Intel UHD Graphics - Wifi - Bluetooth - Webcam - Type-A USB 3.1 - Type-C USB 3.1 - USB 2.0 - Lecteur de cartes - Clavier Chiclet - Windows 11 - Couleur Rose - Garantie 1 an",E410KA-BV283W,"599,000 DT",En stock,"599,000 DT",En arrivage,https://www.mytek.tn/pc-portable-asus-e410ka-intel-celeron-n4500-4go-128-go-emmc-blanc.html
PC PORTABLE LENOVO IdeaPad 3 15IGL05 / Dual Core / 4Go / Windows 11 / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/60730-pc-portable-lenovo-ip3-n4020-dual-core-4go-noir.html,https://www.tunisianet.com.tn/281513-home/pc-portable-lenovo-ip3-n4020-dual-core-4go-noir.jpg,"Écran 15.6"" Full HD - Processeur Intel Celeron N4020, up to 2.8 Ghz, 4 Mo de cache - Mémoire 4 Go - Disque 1To - Carte graphique Intel UHD Graphics 600, 4 Go de mémoire DDR4 - Wifi - Bluetooth 5.0 - 2x USB 3.2 - HDMI - Jack 3.5  - Windows 11 - Couleur Noir - Garantie 1 an",81WQ005RFG,"609,000 DT",En stock,,,
